Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,51,97.53456862745098,1.093771699302959,95.723,98.977,97.869,3.254000000000005,2024,Bahrein,2024-03-02,56.0,True,2,16.0,18.666666666666668,0.26785714285714285,0.0,0.7321428571428571
ALO,52,96.93990384615384,1.4056937476356122,94.199,99.325,97.1905,5.126000000000005,2024,Bahrein,2024-03-02,57.0,True,2,16.0,19.0,0.2631578947368421,0.0,0.7368421052631579
BOT,51,97.71945098039215,0.9736679991398798,96.202,100.087,97.765,3.885000000000005,2024,Bahrein,2024-03-02,56.0,True,2,13.0,18.666666666666668,0.21428571428571427,0.0,0.7857142857142857
GAS,49,97.30457142857142,1.3556955164539615,94.805,99.452,97.689,4.646999999999991,2024,Bahrein,2024-03-02,56.0,True,3,13.0,14.0,0.44642857142857145,0.0,0.5535714285714286
HAM,52,96.49499999999999,1.1339132829865473,94.722,98.645,96.64949999999999,3.923000000000002,2024,Bahrein,2024-03-02,57.0,True,2,13.0,19.0,0.21052631578947367,0.0,0.7894736842105263
HUL,50,96.85468,1.06707095646093,94.834,100.083,96.816,5.248999999999995,2024,Bahrein,2024-03-02,56.0,True,3,2.0,14.0,0.2857142857142857,0.0,0.7142857142857143
LEC,52,96.3683076923077,1.1226105524573957,94.09,98.957,96.75800000000001,4.86699999999999,2024,Bahrein,2024-03-02,57.0,True,2,12.0,19.0,0.19298245614035087,0.0,0.8070175438596491
MAG,51,97.46507843137255,1.0644837404702172,95.57,100.058,97.749,4.488000000000014,2024,Bahrein,2024-03-02,56.0,True,2,12.0,18.666666666666668,0.19642857142857142,0.0,0.8035714285714286
NOR,52,96.46351923076924,1.0061341369736565,94.476,98.172,96.5655,3.695999999999998,2024,Bahrein,2024-03-02,57.0,True,2,14.0,19.0,0.22807017543859648,0.0,0.7719298245614035
OCO,51,97.81072549019608,0.9346072132919011,96.226,99.422,97.843,3.195999999999998,2024,Bahrein,2024-03-02,56.0,True,2,11.0,18.666666666666668,0.17857142857142858,0.0,0.8214285714285714
PER,52,96.03984615384616,1.0400726102973654,94.364,98.044,96.2185,3.6799999999999926,2024,Bahrein,2024-03-02,57.0,True,2,13.0,19.0,0.5789473684210527,0.0,0.42105263157894735
PIA,52,96.53767307692307,1.0396363565068045,94.774,98.397,96.662,3.6230000000000047,2024,Bahrein,2024-03-02,57.0,True,2,13.0,19.0,0.21052631578947367,0.0,0.7894736842105263
RIC,51,97.42864705882353,1.2598403045391107,95.163,99.529,97.75,4.366,2024,Bahrein,2024-03-02,56.0,True,2,14.0,18.666666666666668,0.6071428571428571,0.0,0.39285714285714285
RUS,52,96.47413461538461,0.8860203828232707,95.065,98.116,96.5375,3.051000000000002,2024,Bahrein,2024-03-02,57.0,True,2,12.0,19.0,0.19298245614035087,0.0,0.8070175438596491
SAI,52,96.10307692307691,1.063609095341097,94.507,98.26,96.1265,3.753,2024,Bahrein,2024-03-02,57.0,True,2,15.0,19.0,0.24561403508771928,0.0,0.7543859649122807
SAR,48,97.56464583333333,1.6831925907123764,94.735,101.47,97.60749999999999,6.734999999999999,2024,Bahrein,2024-03-02,55.0,True,3,11.0,13.75,0.45454545454545453,0.0,0.5454545454545454
STR,52,97.12436538461537,0.9257145417978087,95.632,98.925,96.81700000000001,3.292999999999992,2024,Bahrein,2024-03-02,57.0,True,2,10.0,19.0,0.15789473684210525,0.0,0.8421052631578947
TSU,51,97.48550980392157,0.9152477997252717,95.833,99.042,97.516,3.209000000000003,2024,Bahrein,2024-03-02,56.0,True,2,15.0,18.666666666666668,0.25,0.0,0.75
VER,52,95.65440384615385,1.0666443305188675,92.608,97.229,95.529,4.620999999999995,2024,Bahrein,2024-03-02,57.0,True,2,18.0,19.0,0.6491228070175439,0.0,0.3508771929824561
ZHO,51,97.40729411764706,0.8753538780200257,95.458,99.646,97.394,4.188000000000002,2024,Bahrein,2024-03-02,56.0,True,2,10.0,18.666666666666668,0.16071428571428573,0.0,0.8392857142857143
