Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,46,95.02126086956522,1.5816558473080202,92.307,100.318,95.32050000000001,8.010999999999996,2024,Arabia Saudita,2024-03-09,50.0,True,1,8.0,25.0,0.0,0.14,0.86
ALO,46,93.76917391304347,1.0352022519370117,92.387,97.296,93.7615,4.909000000000006,2024,Arabia Saudita,2024-03-09,50.0,True,1,8.0,25.0,0.0,0.14,0.86
BEA,46,94.03169565217391,1.415408364623913,92.186,98.427,93.7795,6.241,2024,Arabia Saudita,2024-03-09,50.0,True,1,8.0,25.0,0.14,0.0,0.86
BOT,43,95.27153488372095,1.6944986665373898,92.706,100.082,95.447,7.375999999999991,2024,Arabia Saudita,2024-03-09,49.0,True,2,8.0,16.333333333333332,0.42857142857142855,0.0,0.5714285714285714
HAM,44,93.71277272727274,1.1115026465071483,91.746,95.672,93.7175,3.926000000000002,2024,Arabia Saudita,2024-03-09,50.0,True,1,37.0,25.0,0.28,0.72,0.0
HUL,44,94.42649999999999,1.4916606868357156,92.366,97.836,94.6495,5.469999999999999,2024,Arabia Saudita,2024-03-09,50.0,True,1,34.0,25.0,0.0,0.66,0.34
LEC,46,93.37708695652172,0.9071543743692206,91.632,96.082,93.2535,4.449999999999989,2024,Arabia Saudita,2024-03-09,50.0,True,1,8.0,25.0,0.0,0.14,0.86
MAG,46,94.96582608695653,1.533279351286698,92.338,99.463,95.3165,7.125,2024,Arabia Saudita,2024-03-09,50.0,True,1,8.0,25.0,0.0,0.14,0.86
NOR,44,93.60704545454546,0.9896777242546361,91.944,95.607,93.662,3.6629999999999967,2024,Arabia Saudita,2024-03-09,50.0,True,1,38.0,25.0,0.26,0.74,0.0
OCO,45,95.33486666666667,1.3319354441085847,93.481,99.439,95.4,5.957999999999998,2024,Arabia Saudita,2024-03-09,49.0,True,1,8.0,24.5,0.0,0.14285714285714285,0.8571428571428571
PER,46,93.12639130434783,0.7494548382587052,92.273,96.005,92.8315,3.7319999999999993,2024,Arabia Saudita,2024-03-09,50.0,True,1,8.0,25.0,0.0,0.14,0.86
PIA,46,93.67573913043478,0.9289437355233692,92.31,96.768,93.7045,4.457999999999998,2024,Arabia Saudita,2024-03-09,50.0,True,1,8.0,25.0,0.0,0.14,0.86
RIC,45,95.63277777777779,1.7703969751146065,93.323,103.781,95.648,10.458000000000013,2024,Arabia Saudita,2024-03-09,49.0,True,1,8.0,24.5,0.0,0.14285714285714285,0.8571428571428571
RUS,46,93.88821739130435,1.1181905206983695,92.254,97.943,93.756,5.688999999999993,2024,Arabia Saudita,2024-03-09,50.0,True,1,8.0,25.0,0.0,0.14,0.86
SAR,45,95.37286666666665,1.343124149815722,93.026,100.141,95.601,7.115000000000009,2024,Arabia Saudita,2024-03-09,49.0,True,1,8.0,24.5,0.0,0.14285714285714285,0.8571428571428571
STR,4,95.79475,0.22229916029231334,95.56,96.094,95.7625,0.5339999999999918,2024,Arabia Saudita,2024-03-09,6.0,False,0,0.0,6.0,0.0,1.0,0.0
TSU,45,95.28673333333334,1.230518375615438,93.523,99.222,95.378,5.698999999999998,2024,Arabia Saudita,2024-03-09,49.0,True,1,8.0,24.5,0.0,0.14285714285714285,0.8571428571428571
VER,46,92.92980434782608,0.6132422983006889,91.773,95.024,92.7885,3.2510000000000048,2024,Arabia Saudita,2024-03-09,50.0,True,1,8.0,25.0,0.0,0.14,0.86
ZHO,43,94.98820930232559,1.4171136587501307,92.208,98.539,95.002,6.331000000000003,2024,Arabia Saudita,2024-03-09,49.0,True,1,42.0,24.5,0.16326530612244897,0.8367346938775511,0.0
