Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,50,82.96858,0.7686741059932309,81.618,84.536,83.0,2.9180000000000064,2024,Australia,2024-03-24,57.0,True,2,7.0,19.0,0.0,0.10526315789473684,0.8947368421052632
ALO,51,82.43178431372549,1.0109057980588594,80.493,85.73,82.704,5.237000000000009,2024,Australia,2024-03-24,58.0,True,2,18.0,19.333333333333332,0.0,0.41379310344827586,0.5862068965517241
BOT,48,82.8113125,0.9730720853280476,81.422,86.453,82.893,5.031000000000006,2024,Australia,2024-03-24,57.0,True,2,9.0,19.0,0.0,0.14035087719298245,0.8596491228070176
GAS,50,83.14641999999999,1.1886568150991383,81.09,85.397,83.13,4.307000000000002,2024,Australia,2024-03-24,57.0,True,2,18.0,19.0,0.0,0.2982456140350877,0.7017543859649122
HAM,12,83.30966666666667,0.6123626871438698,82.444,84.295,83.2055,1.850999999999999,2024,Australia,2024-03-24,16.0,False,1,8.0,8.0,0.4375,0.0,0.5625
HUL,51,82.8642156862745,1.0045230174311783,81.145,85.07,82.823,3.924999999999997,2024,Australia,2024-03-24,58.0,True,2,18.0,19.333333333333332,0.0,0.3103448275862069,0.6896551724137931
LEC,50,81.49106,0.9120118467275643,79.813,83.014,81.841,3.2009999999999934,2024,Australia,2024-03-24,58.0,True,2,10.0,19.333333333333332,0.0,0.15517241379310345,0.8448275862068966
MAG,50,82.88744000000001,0.9845212689320587,81.082,85.255,83.157,4.173000000000002,2024,Australia,2024-03-24,57.0,True,2,8.0,19.0,0.0,0.12280701754385964,0.8771929824561403
NOR,50,81.55198,0.9669307319597363,79.915,83.183,81.70249999999999,3.2680000000000007,2024,Australia,2024-03-24,58.0,True,2,15.0,19.333333333333332,0.0,0.2413793103448276,0.7586206896551724
OCO,48,82.89714583333334,0.823981511607896,81.354,85.483,82.905,4.129000000000005,2024,Australia,2024-03-24,57.0,True,3,10.0,14.25,0.0,0.15789473684210525,0.8421052631578947
PER,49,81.97679591836736,0.964582875729003,80.388,84.122,81.849,3.7339999999999947,2024,Australia,2024-03-24,58.0,True,2,15.0,19.333333333333332,0.0,0.2413793103448276,0.7586206896551724
PIA,49,81.79861224489797,1.0457873392872923,80.199,85.203,81.989,5.004000000000005,2024,Australia,2024-03-24,58.0,True,2,10.0,19.333333333333332,0.0,0.15517241379310345,0.8448275862068966
RIC,50,82.88982,1.011771465080438,81.239,85.131,83.018,3.891999999999996,2024,Australia,2024-03-24,57.0,True,2,6.0,19.0,0.08771929824561403,0.0,0.9122807017543859
RUS,49,82.37030612244898,0.9551008062870027,80.284,84.086,82.591,3.8019999999999925,2024,Australia,2024-03-24,57.0,True,2,9.0,19.0,0.0,0.14035087719298245,0.8596491228070176
SAI,51,81.45833333333333,0.7752577549864892,80.031,83.006,81.489,2.9749999999999943,2024,Australia,2024-03-24,58.0,True,2,17.0,19.333333333333332,0.0,0.27586206896551724,0.7241379310344828
STR,49,82.54073469387755,0.9250085309406109,80.93,84.65,82.922,3.719999999999999,2024,Australia,2024-03-24,58.0,True,2,9.0,19.333333333333332,0.0,0.13793103448275862,0.8620689655172413
TSU,49,82.60928571428572,0.800930110350886,81.134,83.807,82.968,2.673000000000002,2024,Australia,2024-03-24,58.0,True,2,10.0,19.333333333333332,0.0,0.15517241379310345,0.8448275862068966
VER,2,83.607,0.6957930726875691,83.115,84.099,83.607,0.9840000000000089,2024,Australia,2024-03-24,4.0,False,0,0.0,4.0,0.0,1.0,0.0
ZHO,49,82.9711224489796,0.8391183277865033,81.327,84.958,83.097,3.6310000000000002,2024,Australia,2024-03-24,57.0,True,2,7.0,19.0,0.10526315789473684,0.0,0.8947368421052632
