Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALO,46,96.91047826086955,1.1028984991906219,94.726,98.943,97.29050000000001,4.216999999999999,2024,Japao,2024-04-07,53.0,True,3,2.0,13.25,0.24528301886792453,0.37735849056603776,0.37735849056603776
BOT,46,99.27065217391304,7.5553742056525355,96.608,148.991,98.0325,52.38300000000001,2024,Japao,2024-04-07,52.0,True,3,2.0,13.0,0.11538461538461539,0.0,0.8846153846153846
GAS,46,99.82421739130434,6.0152477695826105,96.642,138.362,98.827,41.72,2024,Japao,2024-04-07,52.0,True,3,2.0,13.0,0.019230769230769232,0.3076923076923077,0.6730769230769231
HAM,46,97.00691304347826,1.852732274550046,93.952,100.53,96.6115,6.578000000000003,2024,Japao,2024-04-07,53.0,True,3,2.0,13.25,0.0,0.2830188679245283,0.7169811320754716
HUL,45,97.91604444444444,1.6141445518736668,95.325,100.374,98.352,5.048999999999992,2024,Japao,2024-04-07,52.0,True,3,2.0,13.0,0.09615384615384616,0.0,0.9038461538461539
LEC,48,96.91825,1.2160363148972768,95.044,99.193,96.519,4.149000000000001,2024,Japao,2024-04-07,53.0,True,2,2.0,17.666666666666668,0.0,0.49056603773584906,0.5094339622641509
MAG,48,99.31275,5.083444989123701,96.654,132.996,98.41499999999999,36.34200000000001,2024,Japao,2024-04-07,52.0,True,2,2.0,17.333333333333332,0.0,0.4230769230769231,0.5769230769230769
NOR,46,96.57910869565218,0.9371971742799166,95.186,98.888,96.3575,3.701999999999998,2024,Japao,2024-04-07,53.0,True,3,2.0,13.25,0.0,0.20754716981132076,0.7924528301886793
OCO,46,99.64541304347827,6.302421596589634,96.232,140.237,98.7325,44.004999999999995,2024,Japao,2024-04-07,52.0,True,3,2.0,13.0,0.019230769230769232,0.36538461538461536,0.6153846153846154
PER,46,96.30945652173912,1.2881175706609431,93.945,98.505,96.5705,4.560000000000002,2024,Japao,2024-04-07,53.0,True,3,2.0,13.25,0.0,0.6226415094339622,0.37735849056603776
PIA,46,96.90947826086958,1.1745053188306123,94.802,99.245,97.021,4.442999999999998,2024,Japao,2024-04-07,53.0,True,3,2.0,13.25,0.0,0.22641509433962265,0.7735849056603774
RUS,46,96.93771739130435,1.6372153413381558,94.404,100.317,96.7015,5.912999999999997,2024,Japao,2024-04-07,53.0,True,3,2.0,13.25,0.0,0.32075471698113206,0.6792452830188679
SAI,46,96.44147826086956,1.370300725131059,93.841,98.504,96.901,4.663000000000011,2024,Japao,2024-04-07,53.0,True,3,2.0,13.25,0.0,0.6792452830188679,0.32075471698113206
SAR,44,98.727,5.543100945592031,94.9,132.603,98.13,37.703,2024,Japao,2024-04-07,52.0,True,4,2.0,10.4,0.23076923076923078,0.1346153846153846,0.6346153846153846
STR,43,97.71525581395349,1.2786741290255377,95.798,99.818,97.633,4.019999999999996,2024,Japao,2024-04-07,52.0,True,4,2.0,10.4,0.5769230769230769,0.19230769230769232,0.23076923076923078
TSU,45,97.91577777777778,1.0358520184082345,96.342,100.096,97.498,3.754000000000005,2024,Japao,2024-04-07,52.0,True,3,2.0,13.0,0.11538461538461539,0.019230769230769232,0.8653846153846154
VER,46,96.02823913043478,1.1820288243295496,93.706,97.91,96.393,4.2039999999999935,2024,Japao,2024-04-07,53.0,True,3,2.0,13.25,0.0,0.6415094339622641,0.3584905660377358
ZHO,6,103.96083333333333,12.475947986692905,97.16,129.289,99.794,32.12899999999999,2024,Japao,2024-04-07,12.0,False,3,2.0,3.0,0.5,0.08333333333333333,0.4166666666666667
