Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,42,102.15371428571429,0.8404303568226097,100.79,103.991,101.7655,3.2009999999999934,2024,China,2024-04-21,56.0,True,2,10.0,18.666666666666668,0.0,0.4107142857142857,0.5892857142857143
ALO,40,100.771225,1.2931332746571973,97.81,103.817,100.66550000000001,6.006999999999991,2024,China,2024-04-21,56.0,True,3,12.0,14.0,0.35714285714285715,0.42857142857142855,0.21428571428571427
BOT,16,102.586125,0.5545973764813533,101.276,103.45,102.577,2.1740000000000066,2024,China,2024-04-21,20.0,False,1,10.0,10.0,0.0,0.45,0.55
GAS,40,101.526425,1.2578849950998816,99.198,103.871,101.4475,4.673000000000002,2024,China,2024-04-21,56.0,True,3,12.0,14.0,0.0,0.5178571428571429,0.48214285714285715
HAM,42,101.88823809523808,0.9415386423821068,100.835,104.135,101.4965,3.3000000000000114,2024,China,2024-04-21,56.0,True,2,10.0,18.666666666666668,0.16071428571428573,0.21428571428571427,0.625
HUL,42,101.8542619047619,0.7853165606712751,100.815,104.061,101.63550000000001,3.2460000000000093,2024,China,2024-04-21,56.0,True,2,9.0,18.666666666666668,0.0,0.14285714285714285,0.8571428571428571
LEC,44,100.97915909090908,1.100913826405701,99.384,102.969,100.51050000000001,3.5849999999999937,2024,China,2024-04-21,56.0,True,1,22.0,28.0,0.0,0.375,0.625
MAG,42,102.5787380952381,1.1628404260955754,101.077,104.59,102.5445,3.5130000000000052,2024,China,2024-04-21,56.0,True,2,18.0,18.666666666666668,0.0,0.5178571428571429,0.48214285714285715
NOR,44,100.6460909090909,1.1708645547187846,98.751,102.658,100.2505,3.9069999999999965,2024,China,2024-04-21,56.0,True,1,23.0,28.0,0.0,0.39285714285714285,0.6071428571428571
OCO,42,101.94035714285714,0.7520206867104289,100.937,104.045,101.6515,3.108000000000004,2024,China,2024-04-21,56.0,True,2,10.0,18.666666666666668,0.0,0.16071428571428573,0.8392857142857143
PER,42,100.4384761904762,0.8530621524863629,99.388,102.266,100.0955,2.878,2024,China,2024-04-21,56.0,True,2,14.0,18.666666666666668,0.0,0.23214285714285715,0.7678571428571429
PIA,42,101.63952380952381,0.8318621261845373,99.739,103.456,101.48349999999999,3.7169999999999987,2024,China,2024-04-21,56.0,True,2,17.0,18.666666666666668,0.0,0.42857142857142855,0.5714285714285714
RIC,18,102.90077777777778,0.9756277349092618,100.994,104.075,103.21199999999999,3.081000000000003,2024,China,2024-04-21,33.0,False,1,15.0,16.5,0.0,1.0,0.0
RUS,42,101.18954761904763,0.9228166639360696,100.112,103.985,100.7825,3.8730000000000047,2024,China,2024-04-21,56.0,True,2,12.0,18.666666666666668,0.0,0.4107142857142857,0.5892857142857143
SAI,42,101.203,1.1238366125497554,99.764,103.299,100.609,3.535000000000011,2024,China,2024-04-21,56.0,True,1,18.0,28.0,0.0,0.30357142857142855,0.6964285714285714
SAR,42,102.6409761904762,0.822717314699948,101.0,104.226,102.4355,3.225999999999999,2024,China,2024-04-21,56.0,True,2,13.0,18.666666666666668,0.21428571428571427,0.21428571428571427,0.5714285714285714
STR,40,101.364825,1.0859405444248111,99.444,103.277,101.471,3.8329999999999984,2024,China,2024-04-21,56.0,True,4,10.0,11.2,0.16071428571428573,0.375,0.4642857142857143
TSU,17,102.91647058823528,0.6648637188972507,101.593,103.951,103.095,2.35799999999999,2024,China,2024-04-21,27.0,False,2,9.0,9.0,0.2962962962962963,0.5555555555555556,0.14814814814814814
VER,43,99.77874418604651,0.873504275155767,98.406,101.424,99.591,3.0180000000000007,2024,China,2024-04-21,56.0,True,2,14.0,18.666666666666668,0.0,0.23214285714285715,0.7678571428571429
ZHO,40,101.7766,1.4844749879144494,98.633,104.398,101.7435,5.765000000000001,2024,China,2024-04-21,56.0,True,3,9.0,14.0,0.2857142857142857,0.14285714285714285,0.5714285714285714
