Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,42,82.07811904761904,0.7598258851381023,81.274,85.644,81.828,4.3700000000000045,2024,Emilia Romanha,2024-05-19,51.0,False,4,9.0,10.2,0.0,0.9803921568627451,0.0196078431372549
ALO,55,82.2892,1.0890052103402215,79.004,84.389,82.686,5.384999999999991,2024,Emilia Romanha,2024-05-19,62.0,True,3,8.0,15.5,0.16129032258064516,0.3064516129032258,0.532258064516129
BOT,59,82.9867966101695,0.9932597462077036,81.455,86.165,82.718,4.710000000000008,2024,Emilia Romanha,2024-05-19,62.0,True,1,9.0,31.0,0.0,0.12903225806451613,0.8709677419354839
GAS,57,82.43364912280701,0.6758153406713397,81.371,84.01,82.391,2.63900000000001,2024,Emilia Romanha,2024-05-19,62.0,True,2,9.0,20.666666666666668,0.12903225806451613,0.5161290322580645,0.3548387096774194
HAM,60,81.39373333333333,0.878600367430907,80.331,86.346,81.356,6.015000000000001,2024,Emilia Romanha,2024-05-19,63.0,True,1,28.0,31.5,0.0,0.42857142857142855,0.5714285714285714
HUL,59,82.5668813559322,0.5550125529722262,81.7,84.017,82.433,2.316999999999993,2024,Emilia Romanha,2024-05-19,62.0,True,1,14.0,31.0,0.0,0.20967741935483872,0.7903225806451613
LEC,60,80.95931666666667,0.505098597243983,79.935,82.018,80.92699999999999,2.0829999999999984,2024,Emilia Romanha,2024-05-19,63.0,True,1,26.0,31.5,0.0,0.3968253968253968,0.6031746031746031
MAG,59,82.47669491525424,0.8694888759026996,81.009,84.273,82.761,3.263999999999996,2024,Emilia Romanha,2024-05-19,62.0,True,1,38.0,31.0,0.0,0.5967741935483871,0.4032258064516129
NOR,60,80.85688333333334,0.47563713172276034,79.994,81.883,80.8095,1.8889999999999958,2024,Emilia Romanha,2024-05-19,63.0,True,1,23.0,31.5,0.0,0.3492063492063492,0.6507936507936508
OCO,59,82.8102372881356,0.7413344523963238,81.304,85.675,82.756,4.370999999999995,2024,Emilia Romanha,2024-05-19,62.0,True,1,26.0,31.0,0.0,0.4032258064516129,0.5967741935483871
PER,60,81.66471666666666,1.2454309048279455,79.686,86.8,81.9265,7.11399999999999,2024,Emilia Romanha,2024-05-19,63.0,True,1,38.0,31.5,0.0,0.4126984126984127,0.5873015873015873
PIA,60,81.06956666666666,0.5221425017084819,79.907,82.212,80.9725,2.305000000000007,2024,Emilia Romanha,2024-05-19,63.0,True,1,24.0,31.5,0.0,0.36507936507936506,0.6349206349206349
RIC,59,82.5711186440678,0.748550647510099,81.569,85.609,82.282,4.039999999999992,2024,Emilia Romanha,2024-05-19,62.0,True,1,12.0,31.0,0.0,0.1774193548387097,0.8225806451612904
RUS,58,81.12074137931035,0.7312384966339375,78.589,82.215,81.1865,3.6260000000000048,2024,Emilia Romanha,2024-05-19,63.0,True,2,22.0,21.0,0.0,0.5079365079365079,0.49206349206349204
SAI,60,81.19916666666667,0.5008845452632891,80.22,82.173,81.131,1.953000000000003,2024,Emilia Romanha,2024-05-19,63.0,True,1,28.0,31.5,0.0,0.42857142857142855,0.5714285714285714
SAR,59,82.8271186440678,0.8955227925004366,81.229,85.354,82.987,4.125,2024,Emilia Romanha,2024-05-19,62.0,True,1,32.0,31.0,0.0,0.5,0.5
STR,60,82.06009999999999,0.9131673264531954,80.57,83.921,82.38149999999999,3.3510000000000133,2024,Emilia Romanha,2024-05-19,63.0,True,1,38.0,31.5,0.0,0.5873015873015873,0.4126984126984127
TSU,59,82.44898305084746,0.7137383730926997,80.936,85.932,82.288,4.995999999999995,2024,Emilia Romanha,2024-05-19,62.0,True,1,13.0,31.0,0.0,0.1935483870967742,0.8064516129032258
VER,60,80.87595,0.35386339531289024,80.366,81.988,80.781,1.6219999999999999,2024,Emilia Romanha,2024-05-19,63.0,True,1,25.0,31.5,0.0,0.38095238095238093,0.6190476190476191
ZHO,59,82.75942372881356,0.7993014019450853,81.016,84.342,82.942,3.3259999999999934,2024,Emilia Romanha,2024-05-19,62.0,True,1,34.0,31.0,0.0,0.46774193548387094,0.532258064516129
