Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,75,80.16712,1.736434105955165,77.06,87.834,80.222,10.774000000000001,2024,Monaco,2024-05-26,77.0,True,1,2.0,38.5,0.0,0.012987012987012988,0.987012987012987
ALO,74,80.56287837837839,1.7626152887792752,77.939,89.188,80.639,11.24900000000001,2024,Monaco,2024-05-26,76.0,True,1,2.0,38.0,0.0,0.9868421052631579,0.013157894736842105
BOT,72,80.33368055555555,2.0263697007514714,76.561,89.743,80.49350000000001,13.181999999999988,2024,Monaco,2024-05-26,76.0,True,2,2.0,25.333333333333332,0.0,0.18421052631578946,0.8157894736842105
GAS,75,80.24642666666666,1.7689709191484226,75.625,88.269,80.229,12.644000000000005,2024,Monaco,2024-05-26,77.0,True,1,2.0,38.5,0.0,0.987012987012987,0.012987012987012988
HAM,74,78.3639864864865,2.5293026246256276,74.165,87.058,78.51,12.893,2024,Monaco,2024-05-26,78.0,True,2,2.0,26.0,0.0,0.6410256410256411,0.358974358974359
LEC,76,78.43903947368422,1.6985235740944054,75.162,84.624,78.5,9.461999999999989,2024,Monaco,2024-05-26,78.0,True,1,2.0,39.0,0.0,0.01282051282051282,0.9871794871794872
NOR,76,78.53284210526316,1.6915917793812252,75.742,85.283,78.3995,9.540999999999997,2024,Monaco,2024-05-26,78.0,True,1,2.0,39.0,0.0,0.01282051282051282,0.9871794871794872
PIA,76,78.5241447368421,1.5892239926366358,76.281,84.953,78.48599999999999,8.671999999999997,2024,Monaco,2024-05-26,78.0,True,1,2.0,39.0,0.0,0.01282051282051282,0.9871794871794872
RIC,74,80.56895945945946,1.8759034093134,77.172,89.656,80.84450000000001,12.484000000000009,2024,Monaco,2024-05-26,76.0,True,1,2.0,38.0,0.0,0.013157894736842105,0.9868421052631579
RUS,76,78.5896447368421,2.107820072675077,75.228,85.319,78.63749999999999,10.091000000000008,2024,Monaco,2024-05-26,78.0,True,1,2.0,39.0,0.0,0.9871794871794872,0.01282051282051282
SAI,76,78.52307894736842,1.759429860404838,74.726,85.012,78.5565,10.286000000000001,2024,Monaco,2024-05-26,78.0,True,1,2.0,39.0,0.0,0.01282051282051282,0.9871794871794872
SAR,72,80.40183333333333,2.4846782261137905,75.525,90.077,80.851,14.551999999999992,2024,Monaco,2024-05-26,76.0,True,2,2.0,25.333333333333332,0.0,0.25,0.75
STR,70,79.94244285714285,1.952432118627125,76.71,88.303,79.828,11.593000000000004,2024,Monaco,2024-05-26,76.0,True,3,2.0,19.0,0.3684210526315789,0.5394736842105263,0.09210526315789473
TSU,75,79.9754,2.088222702216905,74.72,87.563,80.144,12.843000000000004,2024,Monaco,2024-05-26,77.0,True,1,2.0,38.5,0.0,0.012987012987012988,0.987012987012987
VER,74,78.38366216216215,2.380197178876061,74.569,85.744,78.5505,11.174999999999997,2024,Monaco,2024-05-26,78.0,True,2,2.0,26.0,0.0,0.6538461538461539,0.34615384615384615
ZHO,72,80.91995833333334,2.0133268273512814,74.718,90.396,80.95400000000001,15.677999999999997,2024,Monaco,2024-05-26,76.0,True,2,2.0,25.333333333333332,0.07894736842105263,0.013157894736842105,0.9078947368421053
