Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,64,71.508078125,0.6049172134015081,70.364,73.504,71.46600000000001,3.1400000000000006,2024,Austria,2024-06-30,70.0,True,2,13.0,23.333333333333332,0.0,0.17142857142857143,0.8285714285714286
ALO,61,71.488,0.7510610272585501,67.694,72.992,71.485,5.298000000000002,2024,Austria,2024-06-30,70.0,True,3,12.0,17.5,0.02857142857142857,0.5,0.4714285714285714
BOT,64,71.628828125,0.591093003041006,70.449,73.607,71.6055,3.1580000000000013,2024,Austria,2024-06-30,70.0,True,2,20.0,23.333333333333332,0.0,0.2714285714285714,0.7285714285714285
GAS,64,71.262390625,0.6845814065054217,69.609,72.924,71.206,3.315000000000012,2024,Austria,2024-06-30,71.0,True,2,21.0,23.666666666666668,0.0,0.6901408450704225,0.30985915492957744
HAM,64,70.697625,0.6354463872830712,69.562,72.152,70.62950000000001,2.5900000000000034,2024,Austria,2024-06-30,71.0,True,2,22.0,23.666666666666668,0.0,0.5492957746478874,0.4507042253521127
HUL,64,71.124578125,0.5499269447783554,70.215,72.764,71.0975,2.5489999999999924,2024,Austria,2024-06-30,71.0,True,2,12.0,23.666666666666668,0.0,0.15492957746478872,0.8450704225352113
LEC,62,70.56696774193549,0.5633594772271908,69.584,72.652,70.5325,3.067999999999998,2024,Austria,2024-06-30,71.0,True,4,2.0,14.2,0.0,0.7887323943661971,0.2112676056338028
MAG,64,71.252734375,0.48913812254473765,70.125,72.381,71.214,2.2560000000000002,2024,Austria,2024-06-30,71.0,True,2,11.0,23.666666666666668,0.0,0.14084507042253522,0.8591549295774648
NOR,58,70.23782758620689,0.7805595414970871,68.016,71.751,70.35849999999999,3.7349999999999994,2024,Austria,2024-06-30,64.0,True,2,24.0,21.333333333333332,0.0,0.5625,0.4375
OCO,65,71.36464615384615,0.7071035203289077,69.649,72.992,71.375,3.3430000000000035,2024,Austria,2024-06-30,71.0,True,2,20.0,23.666666666666668,0.0,0.6619718309859155,0.3380281690140845
PER,64,71.05678125,0.5938264528890583,69.694,72.481,71.0025,2.786999999999992,2024,Austria,2024-06-30,71.0,True,2,22.0,23.666666666666668,0.0,0.5774647887323944,0.4225352112676056
PIA,65,70.46221538461538,0.8302149663699199,68.697,71.86,70.562,3.1629999999999967,2024,Austria,2024-06-30,71.0,True,2,26.0,23.666666666666668,0.0,0.6338028169014085,0.36619718309859156
RIC,64,71.25875,0.46667367341678684,70.426,72.24,71.3185,1.813999999999993,2024,Austria,2024-06-30,71.0,True,2,11.0,23.666666666666668,0.0,0.14084507042253522,0.8591549295774648
RUS,65,70.4275076923077,0.6635022165344638,69.164,71.641,70.278,2.477000000000004,2024,Austria,2024-06-30,71.0,True,2,23.0,23.666666666666668,0.0,0.647887323943662,0.352112676056338
SAI,65,70.48738461538461,0.6865551391801016,69.282,71.839,70.401,2.557000000000002,2024,Austria,2024-06-30,71.0,True,2,23.0,23.666666666666668,0.0,0.647887323943662,0.352112676056338
SAR,62,72.03762903225805,0.9843325979594592,70.406,74.583,71.961,4.1769999999999925,2024,Austria,2024-06-30,69.0,True,3,2.0,17.25,0.0,0.5797101449275363,0.42028985507246375
STR,64,71.526125,0.7506269020170736,70.143,73.949,71.471,3.8059999999999974,2024,Austria,2024-06-30,70.0,True,2,21.0,23.333333333333332,0.0,0.6142857142857143,0.38571428571428573
TSU,64,71.519546875,0.7113733404576573,70.318,74.31,71.49199999999999,3.9920000000000044,2024,Austria,2024-06-30,70.0,True,2,22.0,23.333333333333332,0.0,0.3,0.7
VER,63,70.08038095238096,0.8758896754171324,67.719,71.691,70.217,3.9720000000000084,2024,Austria,2024-06-30,71.0,True,3,24.0,17.75,0.09859154929577464,0.5070422535211268,0.39436619718309857
ZHO,63,71.9471746031746,1.073531292866655,70.47,75.649,71.779,5.179000000000002,2024,Austria,2024-06-30,70.0,True,2,29.0,23.333333333333332,0.0,0.32857142857142857,0.6714285714285714
