Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,64,85.05559375,0.9789744507383276,83.93,89.563,84.8905,5.632999999999996,2024,Hungria,2024-07-21,69.0,True,2,7.0,23.0,0.08695652173913043,0.0,0.9130434782608695
ALO,65,84.53795384615384,0.947437851371542,83.063,86.908,84.402,3.844999999999999,2024,Hungria,2024-07-21,70.0,True,2,8.0,23.333333333333332,0.1,0.42857142857142855,0.4714285714285714
BOT,64,85.157328125,1.0396319717365101,82.792,87.777,85.21549999999999,4.984999999999999,2024,Hungria,2024-07-21,69.0,True,2,17.0,23.0,0.0,0.2318840579710145,0.7681159420289855
GAS,29,85.61596551724138,0.8739339417157139,83.34,87.321,85.703,3.9809999999999945,2024,Hungria,2024-07-21,33.0,False,1,29.0,16.5,0.0,0.15151515151515152,0.8484848484848485
HAM,65,83.54330769230769,0.7779141566369338,82.153,85.372,83.334,3.218999999999994,2024,Hungria,2024-07-21,70.0,True,2,17.0,23.333333333333332,0.0,0.22857142857142856,0.7714285714285715
HUL,64,84.976703125,1.1562286625015255,83.461,88.97,84.97399999999999,5.509,2024,Hungria,2024-07-21,69.0,True,2,3.0,23.0,0.0,0.028985507246376812,0.9710144927536232
LEC,65,83.5910923076923,0.8381797376435185,82.182,85.076,83.207,2.8939999999999912,2024,Hungria,2024-07-21,70.0,True,2,24.0,23.333333333333332,0.0,0.7571428571428571,0.24285714285714285
MAG,64,85.178890625,1.1215679092898534,83.553,90.424,85.32050000000001,6.871000000000009,2024,Hungria,2024-07-21,69.0,True,2,7.0,23.0,0.08695652173913043,0.0,0.9130434782608695
NOR,65,83.40261538461539,1.0289761551584202,81.712,86.787,83.514,5.075000000000003,2024,Hungria,2024-07-21,70.0,True,2,18.0,23.333333333333332,0.0,0.6,0.4
OCO,62,85.0430806451613,1.1674959093323511,81.61,89.856,84.988,8.245999999999995,2024,Hungria,2024-07-21,69.0,True,3,7.0,17.25,0.07246376811594203,0.08695652173913043,0.8405797101449275
PER,65,83.81753846153846,1.5812929744844488,81.096,87.372,83.447,6.275999999999996,2024,Hungria,2024-07-21,70.0,True,2,29.0,23.333333333333332,0.0,0.6,0.4
PIA,65,83.36356923076923,0.9108974964497687,81.716,85.863,83.397,4.147000000000006,2024,Hungria,2024-07-21,70.0,True,2,19.0,23.333333333333332,0.0,0.5857142857142857,0.4142857142857143
RIC,64,84.814703125,1.1655192953900835,82.64,88.092,84.8765,5.451999999999998,2024,Hungria,2024-07-21,69.0,True,2,8.0,23.0,0.0,0.10144927536231885,0.8985507246376812
RUS,65,83.92527692307692,1.584448992430928,80.305,86.918,83.58,6.6129999999999995,2024,Hungria,2024-07-21,70.0,True,2,34.0,23.333333333333332,0.0,0.2857142857142857,0.7142857142857143
SAI,65,83.62504615384614,1.0173861181781223,81.441,86.038,83.695,4.596999999999994,2024,Hungria,2024-07-21,70.0,True,2,22.0,23.333333333333332,0.0,0.6285714285714286,0.37142857142857144
SAR,62,84.95251612903225,1.250623552563839,80.561,87.945,85.0765,7.383999999999986,2024,Hungria,2024-07-21,69.0,True,3,9.0,17.25,0.08695652173913043,0.11594202898550725,0.7971014492753623
STR,65,84.38504615384616,1.0950961777220867,82.338,86.471,84.445,4.13300000000001,2024,Hungria,2024-07-21,70.0,True,2,15.0,23.333333333333332,0.2,0.44285714285714284,0.35714285714285715
TSU,67,84.6919552238806,0.8486317406850135,83.533,86.937,84.575,3.4039999999999964,2024,Hungria,2024-07-21,70.0,True,1,30.0,35.0,0.0,0.4142857142857143,0.5857142857142857
VER,65,83.6989076923077,1.205563751983351,80.908,88.648,83.717,7.739999999999995,2024,Hungria,2024-07-21,70.0,True,2,22.0,23.333333333333332,0.0,0.6,0.4
ZHO,64,85.3748125,1.0947225331576849,83.487,88.287,85.474,4.800000000000011,2024,Hungria,2024-07-21,69.0,True,2,8.0,23.0,0.0,0.10144927536231885,0.8985507246376812
