Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,39,109.41938461538462,0.9390522550166399,107.996,111.283,109.172,3.287000000000006,2024,Belgica,2024-07-28,44.0,True,2,9.0,14.666666666666666,0.0,0.5227272727272727,0.4772727272727273
ALO,41,109.55558536585367,0.9995367921094641,108.051,111.316,109.353,3.2650000000000006,2024,Belgica,2024-07-28,44.0,True,1,14.0,22.0,0.0,1.0,0.0
BOT,39,109.62164102564101,1.195955805537526,107.019,111.793,109.591,4.774000000000001,2024,Belgica,2024-07-28,44.0,True,2,12.0,14.666666666666666,0.0,0.45454545454545453,0.5454545454545454
GAS,39,109.37846153846155,1.1454978886735008,107.418,111.388,109.589,3.969999999999999,2024,Belgica,2024-07-28,44.0,True,2,10.0,14.666666666666666,0.0,0.20454545454545456,0.7954545454545454
HAM,39,108.01023076923077,1.0107586900712984,106.653,109.951,107.957,3.2979999999999876,2024,Belgica,2024-07-28,44.0,True,2,12.0,14.666666666666666,0.0,0.25,0.75
HUL,39,109.91605128205127,0.7526733389696096,108.954,111.8,109.634,2.8460000000000036,2024,Belgica,2024-07-28,44.0,True,2,8.0,14.666666666666666,0.0,0.7045454545454546,0.29545454545454547
LEC,39,108.27151282051283,1.1196559591841402,107.013,110.519,108.021,3.5060000000000002,2024,Belgica,2024-07-28,44.0,True,2,13.0,14.666666666666666,0.0,0.2727272727272727,0.7272727272727273
MAG,41,109.85329268292682,1.221357630751592,107.848,112.134,109.651,4.286000000000001,2024,Belgica,2024-07-28,44.0,True,1,18.0,22.0,0.0,0.38636363636363635,0.6136363636363636
NOR,39,108.29310256410258,1.4245739491413594,105.563,110.504,108.098,4.9410000000000025,2024,Belgica,2024-07-28,44.0,True,2,16.0,14.666666666666666,0.0,0.3409090909090909,0.6590909090909091
OCO,39,109.16564102564102,1.3678597859656794,106.957,111.312,109.428,4.355000000000004,2024,Belgica,2024-07-28,44.0,True,2,13.0,14.666666666666666,0.0,0.2727272727272727,0.7272727272727273
PER,37,108.52286486486487,1.1278662785731006,104.701,110.286,108.335,5.585000000000008,2024,Belgica,2024-07-28,44.0,True,3,12.0,11.0,0.045454545454545456,0.4772727272727273,0.4772727272727273
PIA,39,108.03664102564103,1.346172146010178,105.84,110.481,108.153,4.640999999999991,2024,Belgica,2024-07-28,44.0,True,2,12.0,14.666666666666666,0.0,0.25,0.75
RIC,39,109.1088205128205,1.1641913812598337,107.435,111.541,108.86,4.1059999999999945,2024,Belgica,2024-07-28,44.0,True,2,9.0,14.666666666666666,0.7045454545454546,0.29545454545454547,0.0
RUS,41,108.41875609756097,1.02678120309265,107.113,110.548,107.992,3.4350000000000023,2024,Belgica,2024-07-28,44.0,True,1,11.0,22.0,0.0,0.22727272727272727,0.7727272727272727
SAI,39,108.48828205128204,1.3365332994201122,106.364,111.152,108.355,4.787999999999997,2024,Belgica,2024-07-28,44.0,True,2,21.0,14.666666666666666,0.0,0.18181818181818182,0.8181818181818182
SAR,39,109.79053846153846,1.4083955194728717,107.49,113.25,109.428,5.760000000000005,2024,Belgica,2024-07-28,44.0,True,2,9.0,14.666666666666666,0.0,0.5454545454545454,0.45454545454545453
STR,41,109.77158536585367,0.9385164616459717,108.105,111.654,109.579,3.5489999999999924,2024,Belgica,2024-07-28,44.0,True,1,13.0,22.0,0.0,1.0,0.0
TSU,41,110.02165853658536,1.2325724240334925,107.969,112.479,109.621,4.510000000000005,2024,Belgica,2024-07-28,44.0,True,1,16.0,22.0,0.6590909090909091,0.3409090909090909,0.0
VER,39,108.18266666666666,1.2693632952935858,106.128,110.609,108.154,4.4809999999999945,2024,Belgica,2024-07-28,44.0,True,2,11.0,14.666666666666666,0.0,0.5909090909090909,0.4090909090909091
ZHO,2,112.23750000000001,0.19586857838866936,112.099,112.376,112.23750000000001,0.277000000000001,2024,Belgica,2024-07-28,5.0,False,0,0.0,5.0,0.0,0.0,1.0
