Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,50,85.17497999999999,0.7680666023947932,83.918,87.011,85.059,3.0929999999999893,2024,Italia,2024-09-01,53.0,True,1,18.0,26.5,0.0,0.32075471698113206,0.6792452830188679
ALO,48,84.74012499999999,1.0359213110878465,82.944,87.236,84.88650000000001,4.292000000000002,2024,Italia,2024-09-01,53.0,True,2,13.0,17.666666666666668,0.0,0.22641509433962265,0.7735849056603774
BOT,49,86.02402040816325,1.1051340320257539,83.609,88.377,86.31,4.768000000000001,2024,Italia,2024-09-01,52.0,True,1,34.0,26.0,0.0,0.36538461538461536,0.6346153846153846
COL,50,85.37216000000001,0.920494329484016,83.728,87.845,85.06649999999999,4.117000000000004,2024,Italia,2024-09-01,53.0,True,1,17.0,26.5,0.0,0.3018867924528302,0.6981132075471698
GAS,47,85.32393617021276,0.8974834963786116,83.755,87.191,85.229,3.436000000000007,2024,Italia,2024-09-01,52.0,True,2,11.0,17.333333333333332,0.0,0.19230769230769232,0.8076923076923077
HAM,48,83.89727083333334,1.1834270598307695,81.512,86.043,83.6565,4.531000000000006,2024,Italia,2024-09-01,53.0,True,2,16.0,17.666666666666668,0.0,0.2830188679245283,0.7169811320754716
HUL,47,85.05774468085106,1.110601804508528,83.275,87.809,85.194,4.533999999999992,2024,Italia,2024-09-01,52.0,True,2,6.0,17.333333333333332,0.0,0.09615384615384616,0.9038461538461539
LEC,50,83.94936,0.6294293742294218,83.226,85.606,83.71600000000001,2.3799999999999955,2024,Italia,2024-09-01,53.0,True,1,16.0,26.5,0.0,0.2830188679245283,0.7169811320754716
MAG,50,84.96264,0.9022232802066971,83.437,87.205,84.796,3.7680000000000007,2024,Italia,2024-09-01,53.0,True,1,15.0,26.5,0.0,0.2641509433962264,0.7358490566037735
NOR,48,83.60760416666666,1.0444247472882997,81.432,85.585,83.59100000000001,4.152999999999992,2024,Italia,2024-09-01,53.0,True,2,15.0,17.666666666666668,0.0,0.2641509433962264,0.7358490566037735
OCO,49,85.76504081632653,0.8264122750173369,84.343,87.519,86.013,3.176000000000002,2024,Italia,2024-09-01,52.0,True,1,32.0,26.0,0.0,0.40384615384615385,0.5961538461538461
PER,48,84.49920833333333,1.013597237530317,82.971,86.411,84.524,3.4399999999999977,2024,Italia,2024-09-01,53.0,True,2,24.0,17.666666666666668,0.0,0.33962264150943394,0.660377358490566
PIA,48,83.542,0.9514082731023797,81.943,85.261,83.468,3.317999999999998,2024,Italia,2024-09-01,53.0,True,2,17.0,17.666666666666668,0.0,0.3018867924528302,0.6981132075471698
RIC,50,85.2385,0.6125542791442764,84.219,87.177,85.03999999999999,2.9580000000000126,2024,Italia,2024-09-01,53.0,True,1,12.0,26.5,0.0,0.20754716981132076,0.7924528301886793
RUS,48,83.98366666666666,1.1752785153539116,82.036,86.055,84.28,4.0190000000000055,2024,Italia,2024-09-01,53.0,True,2,12.0,17.666666666666668,0.0,0.20754716981132076,0.7924528301886793
SAI,50,84.23608,0.7830349339302244,83.219,85.731,83.926,2.5120000000000005,2024,Italia,2024-09-01,53.0,True,1,20.0,26.5,0.0,0.3584905660377358,0.6415094339622641
STR,45,85.27031111111111,1.2376346358756958,82.232,88.342,85.064,6.109999999999999,2024,Italia,2024-09-01,52.0,True,3,20.0,13.0,0.038461538461538464,0.2692307692307692,0.6923076923076923
TSU,5,88.223,2.4085284926693324,86.198,92.241,87.538,6.043000000000006,2024,Italia,2024-09-01,7.0,False,0,0.0,7.0,0.0,0.0,1.0
VER,48,84.124375,1.1212629775809244,81.745,86.17,83.61949999999999,4.424999999999997,2024,Italia,2024-09-01,53.0,True,2,23.0,17.666666666666668,0.0,0.22641509433962265,0.7735849056603774
ZHO,49,86.18110204081633,0.8510993685839969,85.092,89.256,85.942,4.1640000000000015,2024,Italia,2024-09-01,52.0,True,1,16.0,26.0,0.0,0.28846153846153844,0.7115384615384616
