Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,11,99.26927272727272,0.9530058857015583,96.888,100.75,99.285,3.8619999999999948,2024,Cingapura,2024-09-22,15.0,False,1,12.0,7.5,0.0,0.7333333333333333,0.26666666666666666
ALO,58,98.61491379310345,0.6058465234544521,97.741,101.282,98.55199999999999,3.540999999999997,2024,Cingapura,2024-09-22,61.0,True,1,26.0,30.5,0.0,0.4098360655737705,0.5901639344262295
BOT,58,99.46249999999999,1.169540909330016,97.524,102.474,99.792,4.950000000000003,2024,Cingapura,2024-09-22,61.0,True,1,34.0,30.5,0.0,0.45901639344262296,0.5409836065573771
COL,58,98.64191379310344,0.8249069758183509,97.262,101.189,98.7895,3.9269999999999925,2024,Cingapura,2024-09-22,61.0,True,1,30.0,30.5,0.0,0.47540983606557374,0.5245901639344263
GAS,58,99.4093275862069,1.4999192187362647,96.927,103.156,99.48949999999999,6.228999999999999,2024,Cingapura,2024-09-22,61.0,True,1,38.0,30.5,0.39344262295081966,0.6065573770491803,0.0
HAM,59,98.46689830508474,0.688578913788622,97.393,100.411,98.309,3.0180000000000007,2024,Cingapura,2024-09-22,62.0,True,1,18.0,31.0,0.27419354838709675,0.0,0.7258064516129032
HUL,58,98.61718965517242,0.730887599223097,97.47,101.269,98.57650000000001,3.7990000000000066,2024,Cingapura,2024-09-22,61.0,True,1,30.0,30.5,0.0,0.47540983606557374,0.5245901639344263
LEC,59,98.02811864406779,1.3437758316329722,95.371,100.029,98.582,4.658000000000001,2024,Cingapura,2024-09-22,62.0,True,1,37.0,31.0,0.0,0.5806451612903226,0.41935483870967744
MAG,51,99.1795882352941,1.1810655896514866,94.754,102.209,99.274,7.454999999999998,2024,Cingapura,2024-09-22,57.0,True,2,29.0,19.0,0.14035087719298245,0.3684210526315789,0.49122807017543857
NOR,59,97.06213559322035,0.9282437710746357,94.925,101.878,96.832,6.953000000000003,2024,Cingapura,2024-09-22,62.0,True,1,31.0,31.0,0.0,0.4838709677419355,0.5161290322580645
OCO,58,99.24101724137931,0.8573206014861717,97.964,101.176,99.1935,3.2120000000000033,2024,Cingapura,2024-09-22,61.0,True,1,30.0,30.5,0.0,0.47540983606557374,0.5245901639344263
PER,58,98.69639655172413,0.753082179985994,97.477,100.652,98.6185,3.174999999999997,2024,Cingapura,2024-09-22,61.0,True,1,29.0,30.5,0.0,0.45901639344262296,0.5409836065573771
PIA,59,97.7149152542373,0.9767921687698887,95.745,99.356,98.149,3.61099999999999,2024,Cingapura,2024-09-22,62.0,True,1,39.0,31.0,0.0,0.6129032258064516,0.3870967741935484
RIC,54,99.05596296296297,1.4520426856213748,94.486,103.383,99.0185,8.896999999999991,2024,Cingapura,2024-09-22,61.0,True,3,11.0,15.25,0.4098360655737705,0.5901639344262295,0.0
RUS,59,98.06483050847457,0.6225563581340949,97.047,99.712,98.173,2.6650000000000063,2024,Cingapura,2024-09-22,62.0,True,1,28.0,31.0,0.0,0.43548387096774194,0.5645161290322581
SAI,59,98.56050847457627,0.6801454553580278,96.561,100.217,98.424,3.6559999999999917,2024,Cingapura,2024-09-22,62.0,True,1,14.0,31.0,0.0,0.20967741935483872,0.7903225806451613
STR,58,99.28108620689655,0.9588540727289365,97.851,101.692,99.44149999999999,3.840999999999994,2024,Cingapura,2024-09-22,61.0,True,1,27.0,30.5,0.0,0.5737704918032787,0.4262295081967213
TSU,58,98.67927586206896,1.2294303315393318,96.393,101.874,98.944,5.4809999999999945,2024,Cingapura,2024-09-22,61.0,True,1,34.0,30.5,0.45901639344262296,0.5409836065573771,0.0
VER,59,97.37696610169492,0.8186536880146944,95.967,99.265,97.1,3.298000000000002,2024,Cingapura,2024-09-22,62.0,True,1,30.0,31.0,0.0,0.46774193548387094,0.532258064516129
ZHO,58,99.44017241379309,1.1580240754084703,97.461,102.29,99.717,4.829000000000008,2024,Cingapura,2024-09-22,61.0,True,1,35.0,30.5,0.0,0.4426229508196721,0.5573770491803278
