Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,49,101.19259183673469,1.4524844938697303,99.084,104.652,101.432,5.567999999999998,2024,Estados Unidos,2024-10-20,55.0,True,2,4.0,18.333333333333332,0.0,0.6,0.4
ALO,49,100.90034693877551,1.1018408186420905,99.261,103.326,100.61,4.064999999999998,2024,Estados Unidos,2024-10-20,55.0,True,1,27.0,27.5,0.0,0.4727272727272727,0.5272727272727272
BOT,49,101.49697959183673,0.9799380824359055,100.575,105.416,101.138,4.840999999999994,2024,Estados Unidos,2024-10-20,55.0,True,1,16.0,27.5,0.0,0.2727272727272727,0.7272727272727273
COL,50,100.31711999999999,1.5778931786611246,97.611,103.338,100.493,5.72699999999999,2024,Estados Unidos,2024-10-20,56.0,True,1,40.0,28.0,0.0,0.30357142857142855,0.6964285714285714
GAS,50,100.49984,1.0071967231795766,98.311,102.407,100.685,4.095999999999989,2024,Estados Unidos,2024-10-20,56.0,True,1,19.0,28.0,0.0,0.32142857142857145,0.6785714285714286
HUL,50,100.09376,1.2489249672728666,98.404,103.09,99.97800000000001,4.686000000000007,2024,Estados Unidos,2024-10-20,56.0,True,1,28.0,28.0,0.0,0.48214285714285715,0.5178571428571429
LAW,50,100.27879999999999,1.3831164750929217,98.091,102.925,100.5035,4.834000000000003,2024,Estados Unidos,2024-10-20,56.0,True,1,37.0,28.0,0.0,0.35714285714285715,0.6428571428571429
LEC,50,98.94113999999999,0.6314996084798491,97.834,100.341,98.9915,2.506999999999991,2024,Estados Unidos,2024-10-20,56.0,True,1,27.0,28.0,0.0,0.4642857142857143,0.5357142857142857
MAG,48,100.1155,1.1737634507420456,98.21,102.311,100.271,4.101000000000013,2024,Estados Unidos,2024-10-20,56.0,True,2,18.0,18.666666666666668,0.0,0.625,0.375
NOR,50,99.20335999999999,0.9806510490485365,97.679,100.864,99.334,3.1850000000000023,2024,Estados Unidos,2024-10-20,56.0,True,1,32.0,28.0,0.0,0.5535714285714286,0.44642857142857145
OCO,47,101.01072340425532,1.1632612085094771,97.33,104.34,101.361,7.010000000000005,2024,Estados Unidos,2024-10-20,55.0,True,2,32.0,18.333333333333332,0.07272727272727272,0.5636363636363636,0.36363636363636365
PER,50,100.07646000000001,1.1189168269868393,98.514,102.576,99.863,4.061999999999998,2024,Estados Unidos,2024-10-20,56.0,True,1,27.0,28.0,0.0,0.4642857142857143,0.5357142857142857
PIA,50,99.35572,1.1251570237807942,97.883,101.768,99.3785,3.885000000000005,2024,Estados Unidos,2024-10-20,56.0,True,1,33.0,28.0,0.0,0.5714285714285714,0.42857142857142855
RUS,50,99.89742,1.5577085484906288,97.656,104.179,99.8885,6.522999999999996,2024,Estados Unidos,2024-10-20,56.0,True,1,41.0,28.0,0.0,0.2857142857142857,0.7142857142857143
SAI,50,99.10808000000002,0.8508789174993623,97.763,101.083,98.9845,3.319999999999993,2024,Estados Unidos,2024-10-20,56.0,True,1,22.0,28.0,0.0,0.375,0.625
STR,49,101.14602040816327,1.39814408964462,99.214,107.096,101.173,7.882000000000005,2024,Estados Unidos,2024-10-20,55.0,True,1,28.0,27.5,0.0,0.509090909090909,0.4909090909090909
TSU,49,100.88436734693877,1.9623202326781997,99.193,112.718,100.927,13.525000000000006,2024,Estados Unidos,2024-10-20,55.0,True,1,19.0,27.5,0.0,0.32727272727272727,0.6727272727272727
VER,50,99.30178,0.7247667123612542,98.117,100.819,99.086,2.701999999999998,2024,Estados Unidos,2024-10-20,56.0,True,1,26.0,28.0,0.0,0.44642857142857145,0.5535714285714286
ZHO,47,101.2789574468085,1.7340780529728244,99.272,110.686,101.376,11.414000000000001,2024,Estados Unidos,2024-10-20,55.0,True,2,14.0,18.333333333333332,0.0,0.6363636363636364,0.36363636363636365
