Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALO,7,83.50742857142858,0.5928557601819843,82.722,84.366,83.312,1.6440000000000055,2024,Mexico,2024-10-27,15.0,False,0,0.0,15.0,0.0,1.0,0.0
BOT,62,82.89546774193549,1.037339609846005,81.085,85.121,83.1985,4.036000000000001,2024,Mexico,2024-10-27,70.0,True,1,50.0,35.0,0.0,0.3,0.7
COL,62,82.63429032258064,1.1219182107926058,80.09,84.918,82.973,4.828000000000003,2024,Mexico,2024-10-27,70.0,True,1,48.0,35.0,0.0,0.32857142857142857,0.6714285714285714
GAS,62,82.5463064516129,0.8090966950401601,81.274,84.108,82.38550000000001,2.834000000000003,2024,Mexico,2024-10-27,70.0,True,1,29.0,35.0,0.0,0.4,0.6
HAM,63,81.70069841269842,0.9627259120703208,80.371,84.039,81.308,3.6680000000000064,2024,Mexico,2024-10-27,71.0,True,1,29.0,35.5,0.0,0.39436619718309857,0.6056338028169014
HUL,62,82.32141935483871,0.9701671910735858,80.748,85.874,82.122,5.125999999999991,2024,Mexico,2024-10-27,70.0,True,1,30.0,35.0,0.0,0.4142857142857143,0.5857142857142857
LAW,60,82.71121666666666,1.1040926191139506,79.502,85.903,82.928,6.4010000000000105,2024,Mexico,2024-10-27,70.0,True,2,40.0,23.333333333333332,0.07142857142857142,0.37142857142857144,0.5571428571428572
LEC,61,81.23875409836066,0.8218373654143722,78.336,82.888,80.975,4.552000000000007,2024,Mexico,2024-10-27,71.0,True,2,32.0,23.666666666666668,0.028169014084507043,0.43661971830985913,0.5352112676056338
MAG,63,81.97539682539683,1.0102856277643404,80.637,84.049,81.779,3.412000000000006,2024,Mexico,2024-10-27,71.0,True,1,31.0,35.5,0.0,0.4225352112676056,0.5774647887323944
NOR,63,81.12850793650794,1.0268311239897514,79.691,84.863,80.703,5.171999999999997,2024,Mexico,2024-10-27,71.0,True,1,31.0,35.5,0.0,0.4225352112676056,0.5774647887323944
OCO,62,82.80220967741936,1.2233491939739023,80.659,86.989,83.143,6.329999999999998,2024,Mexico,2024-10-27,70.0,True,1,49.0,35.0,0.0,0.3142857142857143,0.6857142857142857
PER,58,82.58648275862069,1.3004176554649216,79.209,87.331,82.399,8.122,2024,Mexico,2024-10-27,70.0,True,3,21.0,17.5,0.02857142857142857,0.6857142857142857,0.2857142857142857
PIA,63,81.96900000000001,1.3770313557935736,80.064,84.244,82.545,4.180000000000007,2024,Mexico,2024-10-27,71.0,True,1,40.0,35.5,0.0,0.5492957746478874,0.4507042253521127
RUS,63,81.76206349206349,0.720220326347687,80.731,83.414,81.559,2.683000000000007,2024,Mexico,2024-10-27,71.0,True,1,32.0,35.5,0.0,0.43661971830985913,0.5633802816901409
SAI,63,81.08166666666668,0.618898892154172,80.137,82.493,80.965,2.3559999999999945,2024,Mexico,2024-10-27,71.0,True,1,33.0,35.5,0.0,0.4507042253521127,0.5492957746478874
STR,62,82.6411935483871,0.9474874079134021,81.311,85.434,82.781,4.1229999999999905,2024,Mexico,2024-10-27,70.0,True,1,27.0,35.0,0.0,0.37142857142857144,0.6285714285714286
VER,63,81.68003174603174,0.7132005999367508,80.872,84.675,81.475,3.8029999999999973,2024,Mexico,2024-10-27,71.0,True,1,27.0,35.5,0.0,0.36619718309859156,0.6338028169014085
ZHO,62,83.15843548387097,1.0739487215063714,81.553,86.422,83.487,4.869,2024,Mexico,2024-10-27,70.0,True,1,44.0,35.0,0.0,0.38571428571428573,0.6142857142857143
