Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,21,99.43395238095238,1.063927369522485,98.008,102.776,99.211,4.768000000000001,2024,Las Vegas,2024-11-24,25.0,False,1,10.0,12.5,0.0,0.36,0.64
ALO,45,98.72317777777776,1.1710941715275789,96.553,102.232,98.513,5.679000000000002,2024,Las Vegas,2024-11-24,50.0,True,2,5.0,16.666666666666668,0.08,0.0,0.92
BOT,42,99.48088095238096,1.7024560909402453,96.601,103.358,99.475,6.757000000000005,2024,Las Vegas,2024-11-24,49.0,True,2,18.0,16.333333333333332,0.0,0.3673469387755102,0.6326530612244898
COL,45,98.85855555555555,1.6082081863698763,96.867,102.436,98.333,5.569000000000003,2024,Las Vegas,2024-11-24,50.0,True,2,17.0,16.666666666666668,0.0,0.2,0.8
GAS,11,99.76763636363636,1.049839632775145,98.314,101.862,99.635,3.548000000000002,2024,Las Vegas,2024-11-24,15.0,False,1,11.0,7.5,0.0,0.6666666666666666,0.3333333333333333
HAM,44,97.5781590909091,1.4126264000770017,95.48,100.926,97.284,5.445999999999998,2024,Las Vegas,2024-11-24,50.0,True,2,14.0,16.666666666666668,0.0,0.26,0.74
HUL,45,98.5898888888889,1.2857948589071004,96.585,101.171,98.481,4.586000000000013,2024,Las Vegas,2024-11-24,50.0,True,2,15.0,16.666666666666668,0.0,0.28,0.72
LAW,43,99.22311627906977,1.1358949945035366,97.033,101.469,99.385,4.435999999999993,2024,Las Vegas,2024-11-24,50.0,True,2,12.0,16.666666666666668,0.0,0.22,0.78
LEC,43,97.77160465116279,1.3614383000120762,95.674,101.841,97.933,6.166999999999987,2024,Las Vegas,2024-11-24,50.0,True,2,10.0,16.666666666666668,0.0,0.18,0.82
MAG,47,99.10861702127659,1.642162963278873,96.557,102.439,98.923,5.881999999999991,2024,Las Vegas,2024-11-24,50.0,True,1,18.0,25.0,0.0,0.34,0.66
NOR,42,98.02571428571429,1.4246198001266441,95.527,100.573,98.199,5.045999999999992,2024,Las Vegas,2024-11-24,50.0,True,3,10.0,12.5,0.04,0.18,0.78
OCO,43,99.14744186046512,0.9271023291321036,96.511,101.095,99.182,4.584000000000003,2024,Las Vegas,2024-11-24,49.0,True,3,12.0,12.25,0.08163265306122448,0.24489795918367346,0.673469387755102
PER,45,98.50664444444445,1.453497430268796,96.326,102.106,98.25,5.780000000000001,2024,Las Vegas,2024-11-24,50.0,True,2,18.0,16.666666666666668,0.0,0.3,0.7
PIA,44,98.34522727272726,1.097560018248428,96.598,101.986,98.2045,5.388000000000005,2024,Las Vegas,2024-11-24,50.0,True,2,11.0,16.666666666666668,0.0,0.2,0.8
RUS,43,97.59109302325582,0.8461265754110535,95.946,99.077,97.724,3.1310000000000002,2024,Las Vegas,2024-11-24,50.0,True,2,13.0,16.666666666666668,0.0,0.24,0.76
SAI,44,97.70363636363636,1.3829330322434945,95.875,101.611,97.535,5.736000000000004,2024,Las Vegas,2024-11-24,50.0,True,2,11.0,16.666666666666668,0.0,0.2,0.8
STR,45,98.67024444444445,1.0958993640665997,97.179,102.752,98.598,5.572999999999993,2024,Las Vegas,2024-11-24,50.0,True,2,10.0,16.666666666666668,0.0,0.18,0.82
TSU,45,98.65935555555556,1.0954910927722874,96.957,102.418,98.49,5.461000000000013,2024,Las Vegas,2024-11-24,50.0,True,2,11.0,16.666666666666668,0.0,0.2,0.8
VER,44,97.78368181818182,0.9815757804087318,96.248,100.064,97.6785,3.8159999999999883,2024,Las Vegas,2024-11-24,50.0,True,2,12.0,16.666666666666668,0.0,0.22,0.78
ZHO,45,98.75808888888888,1.32259714924534,96.324,101.281,99.212,4.957000000000008,2024,Las Vegas,2024-11-24,50.0,True,2,12.0,16.666666666666668,0.0,0.22,0.78
