Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,42,87.38926190476191,1.1749998040378538,85.559,91.146,87.31,5.587000000000003,2024,Catar,2024-12-01,56.0,True,4,36.0,11.2,0.375,0.625,0.0
ALO,45,86.19606666666667,1.7213735319109726,83.667,92.386,86.268,8.718999999999994,2024,Catar,2024-12-01,57.0,True,3,36.0,14.25,0.0,0.9824561403508771,0.017543859649122806
BOT,42,87.28073809523809,1.247955402180079,85.533,92.024,86.9965,6.491,2024,Catar,2024-12-01,57.0,True,3,25.0,14.25,0.0,0.8070175438596491,0.19298245614035087
GAS,45,85.9653111111111,1.6362104891017062,83.705,91.425,86.12,7.719999999999999,2024,Catar,2024-12-01,57.0,True,3,36.0,14.25,0.0,0.6140350877192983,0.38596491228070173
HAM,42,86.0642619047619,1.283930380673261,83.865,89.654,86.10749999999999,5.7890000000000015,2024,Catar,2024-12-01,57.0,True,4,35.0,11.4,0.0,0.5964912280701754,0.40350877192982454
HUL,27,87.57940740740742,1.2449643263118761,85.767,91.557,87.3,5.790000000000006,2024,Catar,2024-12-01,40.0,False,4,2.0,8.0,0.0,0.225,0.775
LAW,45,87.4756,1.7045786389497093,86.076,97.35,87.288,11.274000000000001,2024,Catar,2024-12-01,57.0,True,4,36.0,11.4,0.2982456140350877,0.6140350877192983,0.08771929824561403
LEC,45,85.06028888888889,1.320425217706603,83.242,89.202,85.036,5.959999999999994,2024,Catar,2024-12-01,57.0,True,3,36.0,14.25,0.0,0.6140350877192983,0.38596491228070173
MAG,43,86.31881395348837,1.3973680746285635,84.259,90.89,86.237,6.631,2024,Catar,2024-12-01,57.0,True,3,28.0,14.25,0.0,0.47368421052631576,0.5263157894736842
NOR,43,84.81806976744187,1.2018954553091608,82.384,87.175,84.915,4.790999999999997,2024,Catar,2024-12-01,57.0,True,4,36.0,11.4,0.0,0.6140350877192983,0.38596491228070173
PER,30,86.29313333333333,0.9208668979163958,85.288,89.55,86.10050000000001,4.2620000000000005,2024,Catar,2024-12-01,39.0,False,3,36.0,9.75,0.0,0.8974358974358975,0.10256410256410256
PIA,44,85.03456818181819,1.2017007598289051,83.218,87.603,85.0135,4.384999999999991,2024,Catar,2024-12-01,57.0,True,3,35.0,14.25,0.0,0.5964912280701754,0.40350877192982454
RUS,43,85.28776744186047,1.2153666277577089,83.355,87.948,85.749,4.592999999999989,2024,Catar,2024-12-01,57.0,True,4,24.0,11.4,0.0,0.40350877192982454,0.5964912280701754
SAI,44,85.385,1.2412685933875178,83.465,89.355,85.2575,5.890000000000001,2024,Catar,2024-12-01,57.0,True,3,35.0,14.25,0.0,0.5964912280701754,0.40350877192982454
STR,2,92.229,1.8299923497107806,90.935,93.523,92.229,2.587999999999994,2024,Catar,2024-12-01,8.0,False,2,2.0,2.6666666666666665,0.0,0.125,0.875
TSU,45,87.40682222222223,0.893970415640486,86.144,90.04,87.301,3.896000000000001,2024,Catar,2024-12-01,57.0,True,4,36.0,11.4,0.2982456140350877,0.6140350877192983,0.08771929824561403
VER,45,84.67337777777779,1.1028810264873694,82.905,86.724,84.775,3.8190000000000026,2024,Catar,2024-12-01,57.0,True,3,36.0,14.25,0.0,0.6140350877192983,0.38596491228070173
ZHO,45,86.2880888888889,1.522340614469912,83.889,90.517,86.126,6.628,2024,Catar,2024-12-01,57.0,True,3,36.0,14.25,0.0,0.6140350877192983,0.38596491228070173
