Driver,NumVoltas,MediaTempo,DesvioPadrao,MelhorVolta,PiorVolta,MedianaTempo,RangeTempo,Year,GrandPrix,RaceDate,VoltasCompletadasDadosBrutos,Concluiu,NumParadasBox,VoltaPrimeiroPit,DuracaoMediaStint,PropVoltasMacios,PropVoltasMedios,PropVoltasDuros
ALB,52,90.10021153846154,0.5399768454200053,89.438,91.909,90.003,2.4710000000000036,2024,Abu Dhabi,2024-11-26,57.0,True,1,13.0,28.5,0.0,0.21052631578947367,0.7894736842105263
ALO,51,89.42035294117647,0.9098125482434076,87.948,91.821,89.708,3.8730000000000047,2024,Abu Dhabi,2024-11-26,58.0,True,2,14.0,19.333333333333332,0.0,0.22413793103448276,0.7758620689655172
BOT,24,90.18241666666667,0.5642183447741801,89.482,91.52,89.9235,2.0379999999999967,2024,Abu Dhabi,2024-11-26,30.0,False,1,7.0,15.0,0.0,0.2,0.8
COL,21,90.45361904761906,0.8234779581865218,89.411,92.892,90.26,3.4809999999999945,2024,Abu Dhabi,2024-11-26,26.0,False,1,4.0,13.0,0.0,0.11538461538461539,0.8846153846153846
DOO,52,90.31990384615385,0.6904973274391512,89.121,92.136,90.205,3.0150000000000006,2024,Abu Dhabi,2024-11-26,57.0,True,1,23.0,28.5,0.0,0.38596491228070173,0.6140350877192983
GAS,53,89.7593396226415,0.4055815361161233,89.212,91.144,89.631,1.9320000000000022,2024,Abu Dhabi,2024-11-26,58.0,True,1,15.0,29.0,0.0,0.2413793103448276,0.7586206896551724
HAM,53,88.96054716981132,1.1646240325338042,87.278,91.066,89.616,3.7879999999999967,2024,Abu Dhabi,2024-11-26,58.0,True,1,35.0,29.0,0.0,0.41379310344827586,0.5862068965517241
HUL,53,89.78550943396226,0.4048533268425008,89.152,91.288,89.76,2.1359999999999957,2024,Abu Dhabi,2024-11-26,58.0,True,1,14.0,29.0,0.0,0.22413793103448276,0.7758620689655172
LAW,47,89.91976595744681,0.8434816616847934,88.751,91.887,89.599,3.1359999999999957,2024,Abu Dhabi,2024-11-26,56.0,True,3,24.0,14.0,0.0,0.4107142857142857,0.5892857142857143
LEC,53,88.94443396226416,0.7114400215119999,88.018,90.437,88.565,2.418999999999997,2024,Abu Dhabi,2024-11-26,58.0,True,1,21.0,29.0,0.0,0.3448275862068966,0.6551724137931034
MAG,47,89.8696170212766,1.0377279226478957,85.637,91.204,90.04,5.566999999999993,2024,Abu Dhabi,2024-11-26,57.0,True,4,13.0,11.4,0.47368421052631576,0.21052631578947367,0.3157894736842105
NOR,53,88.51711320754717,0.6203698233367002,87.438,89.858,88.362,2.4200000000000017,2024,Abu Dhabi,2024-11-26,58.0,True,1,27.0,29.0,0.0,0.4482758620689655,0.5517241379310345
PIA,51,89.04737254901961,0.8578636246113791,87.69,90.277,89.319,2.5870000000000033,2024,Abu Dhabi,2024-11-26,58.0,True,2,5.0,19.333333333333332,0.0,0.06896551724137931,0.9310344827586207
RUS,53,89.10549056603774,0.7431802406560619,88.195,90.368,88.687,2.173000000000002,2024,Abu Dhabi,2024-11-26,58.0,True,1,27.0,29.0,0.0,0.4482758620689655,0.5517241379310345
SAI,53,88.58792452830188,0.5232074838126405,87.765,89.372,88.399,1.6069999999999993,2024,Abu Dhabi,2024-11-26,58.0,True,1,26.0,29.0,0.0,0.43103448275862066,0.5689655172413793
STR,50,89.7749,0.6837842257225032,88.604,91.119,89.8785,2.5150000000000006,2024,Abu Dhabi,2024-11-26,57.0,True,2,12.0,19.0,0.0,0.19298245614035087,0.8070175438596491
TSU,52,90.12863461538463,0.7017736082310657,89.2,92.003,89.8835,2.8029999999999973,2024,Abu Dhabi,2024-11-26,57.0,True,1,23.0,28.5,0.0,0.38596491228070173,0.6140350877192983
VER,53,89.04315094339623,0.9017651364924638,87.765,90.449,88.78,2.6839999999999975,2024,Abu Dhabi,2024-11-26,58.0,True,1,30.0,29.0,0.0,0.5,0.5
ZHO,50,89.61370000000001,0.8306697629636154,87.982,90.808,89.95599999999999,2.8260000000000076,2024,Abu Dhabi,2024-11-26,57.0,True,2,13.0,19.0,0.0,0.21052631578947367,0.7894736842105263
